Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
131,Bradley,MVC,3-May,2.39,99.6,97.2,67.6,0.049,-1.51,98.8,100.3,-1.51
132,UT Arlington,SB,5-Apr,2.33,100.6,98.3,69.7,-0.118,9.15,105,95.9,9.15
133,Georgia Southern,SB,3-Jun,2.29,102.3,100.1,76.1,-0.005,-2.17,99.4,101.6,-2.17
134,Ball St.,MAC,4-Apr,2.2,98.6,96.4,67,-0.221,-4.87,98.7,103.6,-4.87
135,Drake,MVC,2-Jul,2.19,97.2,95,67.3,0.089,-5.28,97.4,102.7,-5.28
136,Texas A&M,SEC,4-Mar,2.15,96.9,94.7,68.6,0.087,-3.54,97.7,101.2,-3.54
137,Towson,CAA,4-Apr,2.12,101.9,99.8,66.3,-0.105,2.43,100.9,98.5,2.43
138,Colorado St.,MWC,4-Jun,2.02,103.4,101.4,68.8,0.074,0.83,100.2,99.4,-0.62
139,Wofford,SC,4-Apr,1.99,105.9,103.9,65.5,-0.115,-3.65,96.3,99.9,-3.65
140,Georgia St.,SB,3-May,1.68,102.7,101,72.1,0.06,3.44,101.2,97.8,3.44
141,South Dakota,Sum,3-Jul,1.45,104.8,103.4,68.1,0.133,-2.4,97.9,100.3,-2.4
142,Northern Illinois,MAC,3-Jun,1.45,98.5,97.1,67.3,0.066,-3.15,99,102.1,-3.15
143,Santa Clara,WCC,2-Aug,1.22,100.3,99.1,74.2,0.165,-8.77,94.8,103.6,-8.77
144,St. Bonaventure,A10,4-Apr,1.05,99.1,98,64.2,0.02,-0.66,98.5,99.2,-0.66
145,UAB,CUSA,3-Apr,0.86,98.8,98,64.2,0.045,-4.8,96.3,101.1,-4.8
146,Nebraska,B10,4-Apr,0.86,100.3,99.4,73,0.053,-2.7,96.8,99.5,-2.7
147,Boston College,ACC,5-Apr,0.85,96.8,96,71.8,-0.001,2.19,100.5,98.3,2.05
148,Murray St.,OVC,4-Apr,0.78,101.5,100.7,70.7,-0.032,-1.61,98.1,99.7,-1.61
149,Little Rock,SB,4-May,0.75,96.8,96,67.1,-0.056,1.69,101.5,99.8,1.69
150,Charleston,CAA,4-Apr,0.69,102.3,101.6,65.1,0.049,3.83,101,97.2,3.83
151,Nebraska Omaha,Sum,5-May,0.59,103.2,102.6,69.6,-0.046,3.32,102.5,99.2,3.32
152,Delaware,CAA,Sep-00,0.57,102.3,101.7,69.1,0.046,-5.15,97.7,102.8,-5.15
153,UNLV,MWC,6-Apr,0.48,101.5,101.1,65.4,-0.128,0.43,99.7,99.3,-0.58
154,North Texas,CUSA,6-Mar,0.45,99.9,99.4,61.9,-0.155,8.34,102,93.7,8.34
155,Missouri St.,MVC,5-May,0.36,99.5,99.1,64.8,-0.096,-3,98.2,101.2,-3
156,Washington St.,P12,4-Apr,0.35,99.5,99.2,71.9,-0.117,-4.3,97.2,101.5,-4.3
157,FIU,CUSA,3-Jun,0.3,98.9,98.6,74.8,-0.099,-5.89,95.9,101.8,-5.89
158,Western Carolina,SC,2-Jun,0.09,104.1,104,72.3,0.074,-1.76,97.7,99.4,0.39
159,Oral Roberts,Sum,5-Mar,0.03,101.5,101.4,73.7,-0.094,14.02,107.8,93.8,14.02
160,Sam Houston St.,Slnd,4-Apr,-0.02,99,99,73.4,-0.113,5.17,103.6,98.4,5.17
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
161,Central Michigan,MAC,2-Jul,-0.07,103.5,103.5,75.3,0.058,-5.7,98.3,104.1,-5.7
162,La Salle,A10,3-Apr,-0.08,97.3,97.4,71,0.116,5.93,104.2,98.3,5.93
163,Eastern Washington,BSky,3-Apr,-0.12,101.6,101.7,76,0.033,4.84,100.2,95.3,4.84
164,UC Santa Barbara,BW,3-May,-0.2,104.1,104.3,64.4,-0.004,-4.81,98.6,103.4,-4.81
165,Rice,CUSA,3-Jun,-0.31,102.3,102.6,74.1,0.187,2.25,101.3,99.1,2.25
166,Winthrop,BSth,4-Apr,-0.45,98.8,99.2,69,-0.083,8.96,104.7,95.7,8.96
167,Southern Utah,BSky,4-Apr,-0.56,95.2,95.7,69.5,-0.138,7.37,105,97.7,7.37
168,Coastal Carolina,SB,4-May,-0.59,102,102.6,70.3,-0.117,-3.33,99.3,102.7,-3.33
169,Hawaii,BW,2-Jun,-0.64,99.5,100.1,69.4,0.067,-6.56,98.2,104.8,-6.56
170,Oakland,Horz,4-May,-0.7,99.2,99.9,64.5,0.046,2.12,101.3,99.2,2.12
171,Appalachian St.,SB,4-May,-0.88,96.5,97.4,69.3,-0.097,0.77,99.5,98.8,0.77
172,California,P12,3-May,-0.97,99.3,100.3,65,0.172,0.25,101.3,101.1,0.25
173,William & Mary,CAA,3-Jun,-0.99,101.8,102.7,70.4,0.113,1.01,100.7,99.6,1.01
174,Eastern Michigan,MAC,1-Jul,-1.46,95.4,96.8,69.5,0.213,-2.39,96.9,99.3,-2.39
175,Loyola Marymount,WCC,5-Mar,-1.48,100.3,101.8,63.6,-0.072,4.92,102.9,97.9,4.92
176,Fordham,A10,2-May,-1.51,93.6,95.1,66.2,0.02,-9.82,95.1,104.9,-9.82
177,Northern Colorado,BSky,4-Apr,-1.56,98.5,100.1,66.9,-0.183,4.51,101.9,97.4,4.51
178,Ohio,MAC,3-Jun,-1.57,98.5,100.1,68.2,0.138,5.23,104.7,99.4,5.23
179,Columbia,Ivy,7-Mar,-1.63,97.4,99.1,70.2,-0.135,0.96,100.6,99.6,0.96
180,Lafayette,Pat,2-May,-1.66,104.4,106,66.1,-0.003,-4.21,99.1,103.3,-4.21
181,Montana,BSky,5-Apr,-1.7,97.9,99.6,67.8,0.065,5.12,100.9,95.8,5.12
182,Siena,MAAC,4-Feb,-1.77,97.8,99.6,71.3,-0.115,7.63,103.9,96.3,7.63
183,Samford,SC,5-May,-1.85,100.7,102.5,69.4,-0.061,-0.27,99.8,100.1,-0.27
184,Old Dominion,CUSA,6-Mar,-1.85,92.2,94,67.5,-0.052,-0.13,101.1,101.2,-0.13
185,Air Force,MWC,5-Apr,-1.87,103.6,105.5,68.1,-0.05,-2.25,97.6,99.8,-1.9
186,San Diego,WCC,7-Mar,-1.87,96.7,98.6,70.8,-0.029,3.29,101.1,97.8,3.29
187,North Dakota St.,Sum,4-May,-1.91,99.6,101.5,65.3,-0.027,-4.95,95.9,100.9,-4.95
188,Massachusetts,A10,4-May,-1.91,99.5,101.4,69.4,-0.003,0.09,99.6,99.5,0.09
189,Stony Brook,AE,3-Jun,-1.94,97.3,99.2,67.6,0.081,-1.58,98.3,99.8,-1.58
190,Stephen F. Austin,Slnd,2-Jul,-2.03,96.3,98.3,75.1,0.037,0.01,99.8,99.8,0.01
191,Iona,MAAC,3-Feb,-2.05,99.9,102,69.5,-0.092,-3.75,96.9,100.6,-3.75
192,North Florida,ASun,4-Jun,-2.06,101.4,103.4,72.9,0.064,0.21,101,100.8,0.21
193,St. Francis PA,NEC,4-Apr,-2.13,102.4,104.5,67.8,0.047,2.81,102,99.2,2.81
194,Gardner Webb,BSth,5-Mar,-2.13,99.5,101.6,65.8,-0.059,7.8,105.1,97.3,7.8
195,Evansville,MVC,3-Jun,-2.14,99.2,101.4,71.7,0.175,-3.56,98.6,102.2,-3.56
196,Valparaiso,MVC,4-May,-2.17,99.7,101.9,72,0.048,1.94,100.1,98.2,1.94
197,South Dakota St.,Sum,5-Jun,-2.18,101.3,103.5,68.6,-0.003,0.29,99.5,99.3,0.29
198,Cal Baptist,WAC,4-Apr,-2.18,101.6,103.8,72.5,-0.05,-4.97,97.4,102.4,-4.97
199,Grand Canyon,WAC,6-Apr,-2.24,99.6,101.9,67.8,0.026,-3.84,97.3,101.1,-3.84
200,Lipscomb,ASun,6-Mar,-2.24,97.8,100.1,71.5,-0.086,3.6,101.2,97.6,3.6
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
201,Illinois St.,MVC,5-Mar,-2.25,100.5,102.7,67.7,-0.058,5.52,102.5,97,5.52
202,Green Bay,Horz,5-Mar,-2.26,104.2,106.5,75.7,-0.024,9.54,105.4,95.9,9.54
203,Austin Peay,OVC,4-Mar,-2.43,103.6,106.1,68.9,-0.135,3.32,101.6,98.3,3.32
204,Pacific,WCC,3-Aug,-2.59,97.4,100,63.3,-0.03,-10.61,93.5,104.1,-10.61
205,Albany,AE,4-May,-2.62,97.5,100.1,68.3,-0.013,-6.07,97.4,103.4,-6.07
206,Sacred Heart,NEC,4-May,-2.76,101.2,104,74,0.02,-1.37,100,101.4,-1.37
207,American,Pat,4-Mar,-3.09,101,104.1,70.4,-0.116,-4.51,98.2,102.8,-4.51
208,Sacramento St.,BSky,1-May,-3.17,94.4,97.5,67,0.127,2.15,100.9,98.8,2.15
209,Purdue Fort Wayne,Sum,5-Jun,-3.25,101.1,104.3,70.3,-0.054,-2.67,98.8,101.4,-2.67
210,Seattle,WAC,5-May,-3.28,95.9,99.1,68.5,-0.027,-3.34,98.4,101.7,-3.34
211,Loyola MD,Pat,4-May,-3.28,100.5,103.8,70.3,0.081,-5.46,96.9,102.3,-5.46
212,Bucknell,Pat,7-Mar,-3.32,101.2,104.5,71.9,0.01,4.06,101.3,97.3,4.06
213,Miami OH,MAC,4-Apr,-3.38,99.4,102.8,71.5,0.004,-1.14,99.6,100.7,-1.14
214,Princeton,Ivy,6-Jan,-3.39,100.7,104.1,66.4,-0.087,6.97,105,98.1,6.97
215,Tulane,Amer,1-Jul,-3.76,97.7,101.5,69.6,0.086,-10.62,94.7,105.3,-10.62
216,Dartmouth,Ivy,4-May,-3.83,95.3,99.2,64.8,0.107,0.45,99.5,99.1,0.45
217,Charlotte,CUSA,4-Mar,-3.94,94.5,98.5,67,-0.174,-2.34,99.7,102.1,-2.34
218,Florida Atlantic,CUSA,4-May,-3.94,95.2,99.2,69.7,0.014,-4.06,98,102.1,-4.06
219,Marshall,CUSA,5-Feb,-3.97,96.9,100.9,75.7,-0.121,0.7,100,99.3,0.7
220,Southern Illinois,MVC,5-Apr,-4.2,96.9,101.1,63,-0.114,-3,98.5,101.5,-3
221,Brown,Ivy,3-May,-4.74,95.8,100.6,71.3,0.123,-8.08,96.7,104.8,-8.08
222,Utah Valley,WAC,6-Apr,-4.83,96.4,101.2,72.4,-0.071,0.45,99.7,99.3,0.45
223,UTSA,CUSA,6-Feb,-4.86,99.6,104.5,73.8,-0.13,0.39,99.7,99.3,0.39
224,Cal St. Northridge,BW,7-Feb,-4.87,101.1,106,71.4,0.041,7.71,106.6,98.9,7.71
225,NJIT,ASun,6-Feb,-4.87,99.3,104.2,67,-0.044,-0.09,100.2,100.3,-0.09
226,Nicholls St.,Slnd,4-May,-5.04,96.3,101.3,70.8,-0.03,9.61,103.8,94.2,9.61
227,Boston University,Pat,6-Mar,-5.1,97.4,102.5,68.1,-0.071,1.69,101.8,100.1,1.69
228,UC Riverside,BW,3-Jun,-5.24,93.8,99,64.7,-0.029,-8.38,95,103.4,-8.38
229,Canisius,MAAC,4-Apr,-5.3,96,101.3,70.2,-0.001,-1.31,99.7,101,-1.31
230,Milwaukee,Horz,4-May,-5.4,94.6,100,70.3,-0.147,-6.89,96.2,103.1,-6.89
231,Monmouth,MAAC,5-Apr,-5.44,94.9,100.3,71,0.046,1.24,100.3,99,1.24
232,Jacksonville St.,OVC,5-Feb,-5.72,96.1,101.8,69.9,-0.058,8.61,103.8,95.2,8.61
233,Middle Tennessee,CUSA,5-Apr,-5.75,97.6,103.4,72.7,0.075,3.94,103.2,99.2,3.94
234,Portland,WCC,2-Jun,-5.76,95.8,101.6,67.4,0.023,-10.4,95.6,106,-10.4
235,Chattanooga,SC,4-May,-5.81,96.5,102.3,67.9,0.113,-0.97,98.9,99.8,-1.99
236,Lehigh,Pat,6-Mar,-5.81,97.8,103.6,70.3,-0.024,6.05,103.1,97,6.05
237,Mount St. Mary's,NEC,6-Mar,-5.93,95.3,101.2,65.6,-0.031,6.07,102.6,96.5,6.07
238,Eastern Illinois,OVC,4-Apr,-5.94,97,102.9,69.8,-0.215,-3.31,97.9,101.2,-3.31
239,George Washington,A10,5-Apr,-5.97,95.9,101.8,67.2,-0.004,-6.3,97,103.3,-6.3
240,Illinois Chicago,Horz,6-Mar,-6,96.4,102.4,71.2,-0.018,-2.07,97.9,100,-2.07
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
241,Campbell,BSth,2-Jun,-6.03,96.7,102.7,66.2,0.109,-4.27,97.9,102.2,-4.27
242,Mercer,SC,5-Apr,-6.16,99.4,105.5,71.6,0.007,-4.48,96.9,101.4,-4.48
243,UNC Asheville,BSth,2-Apr,-6.16,100.9,107.1,72.2,0.068,7.16,103.6,96.5,7.16
